Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
LOTENSIN 10 mg filmtabletta;benazepril;C09AA07;Viatris Healthcare Ltd.;OGYI-T-01886;28 X   - buborékcsomagolásban;V  ;;TK;1992.01.01;..;
LOTENSIN 20 mg filmtabletta;benazepril;C09AA07;Viatris Healthcare Ltd.;OGYI-T-01886;14 X   - buborékcsomagolásban;V  ;;TK;1992.01.01;..;
LOTENSIN HCT 10 mg/12,5 mg filmtabletta;benazepril, hydrochlorothiazide;C09BA07;Viatris Healthcare Ltd.;OGYI-T-04506;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban;V  ;;TK;1995.05.25;..;
Lucentis 10 mg/ml oldatos injekció;ranibizumab;S01LA04;Novartis Europharm Limited;EU/1/06/374;1 X 0.23 ml injekciós üvegben, 1 X 0.23 ml injekciós üvegben, 1 X 0.23 ml injekciós üvegben;Sz ;;CTK;2007.01.22;..;
Lucentis 10 mg/ml oldatos injekció elõretöltött fecskendõben;ranibizumab;S01LA04;Novartis Europharm Limited;EU/1/06/374;1 X 0.165 ml elõretöltött fecskendõben;Sz ;;CTK;2013.10.24;..;
LUCETAM  200 mg/ml oldatos injekció;piracetam;N06BX03;Egis Gyógyszergyár Zrt.;OGYI-T-07153;10 X 5 ml ampulla, 20 X 15 ml ampulla, 4 X 15 ml ampulla;V  ;;TK;1999.01.01;..;
LUCETAM  400 mg filmtabletta;piracetam;N06BX03;Egis Gyógyszergyár Zrt.;OGYI-T-07153;100 X   - üvegben, 120 X   - üvegben, 30 X   - üvegben, 40 X   - üvegben, 50 X   - üvegben, 60 X   - üvegben, 70 X   - üvegben, 80 X   - üvegben, 90 X   - üvegben;V  ;;TK;1997.01.01;..;
LUCETAM  800 mg filmtabletta;piracetam;N06BX03;Egis Gyógyszergyár Zrt.;OGYI-T-07153;100 X   - üvegben, 120 X   - üvegben, 30 X   - üvegben, 40 X   - üvegben, 50 X   - üvegben, 70 X   - üvegben, 80 X   - üvegben, 90 X   - üvegben;V  ;;TK;1997.01.01;..;
LUCETAM 1200 mg filmtabletta;piracetam;N06BX03;Egis Gyógyszergyár Zrt.;OGYI-T-07153;100 X   - üvegben, 120 X   - üvegben, 20 X   - üvegben, 30 X   - üvegben, 40 X   - üvegben, 50 X   - üvegben, 60 X   - üvegben, 70 X   - üvegben, 80 X   - üvegben, 90 X   - üvegben;V ;;TK;1999.10.06;..;
LUCRIN PDS DEPOT  3,75 mg por és oldószer szuszpenziós injekcióhoz elõretöltött fecskendõben;leuprorelin;L02AE02;AbbVie Kft.;OGYI-T-10040;1 X   - elõretöltött fecskendõben;Sz  ;;TK;2005.02.07;..;
LUCRIN PDS DEPOT 11,25 mg por és oldószer szuszpenziós injekcióhoz elõretöltött fecskendõben;leuprorelin;L02AE02;AbbVie Kft.;OGYI-T-10040;1 X   - elõretöltött fecskendõben;Sz  ;;TK;2005.02.07;..;
LUDEA 10 mg gyomornedv-ellenálló kemény kapszula;omeprazole;A02BC01;Richter Gedeon Nyrt.;OGYI-T-20638;30 X   - buborékcsomagolásban;V ;;TK;2008.09.29;..;
LUDEA 20 mg gyomornedv-ellenálló kemény kapszula;omeprazole;A02BC01;Richter Gedeon Nyrt.;OGYI-T-20638;30 X   - buborékcsomagolásban;V ;;TK;2008.09.29;..;
LUDEA 40 mg gyomornedv-ellenálló kemény kapszula;omeprazole;A02BC01;Richter Gedeon Nyrt.;OGYI-T-20638;30 X   - buborékcsomagolásban;V ;;TK;2008.09.29;..;
LUDIOMIL 25 mg filmtabletta;maprotiline;N06AA21;Amdipharm Ltd.;OGYI-T-01256;30 X   - buborékcsomagolásban;V  ;;TT;1997.04.04;2020.11.02;
LUDIOMIL 75 mg filmtabletta;maprotiline;N06AA21;Amdipharm Ltd.;OGYI-T-01256;30 X   - buborékcsomagolásban;V  ;;TT;1987.01.01;2020.11.02;
Luffa operculata golyócskák  (C  2);;;BOIRON;OGYI-HGAL-273C2;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C  5);;;BOIRON;OGYI-HGAL-273C5;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C  6);;;BOIRON;OGYI-HGAL-273C6;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C  9);;;BOIRON;OGYI-HGAL-273C9;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C 12);;;BOIRON;OGYI-HGAL-273C12;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C 15);;;BOIRON;OGYI-HGAL-273C15;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C 30);;;BOIRON;OGYI-HGAL-273C30;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
Luffa operculata golyócskák  (C200);;;BOIRON;OGYI-HGAL-273C200;1 X 4 g multi dose;VN ;;TK;2004.06.01;..;
LULINA 3 mg/0,03 mg filmtabletta;drospirenone, ethinylestradiol;G03AA12;Richter Gedeon Nyrt.;OGYI-T-22167;1 X 21 - buborékcsomagolásban, 13 X 21 - buborékcsomagolásban, 3 X 21 - buborékcsomagolásban, 6 X 21 - buborékcsomagolásban;V ;;TT;2012.05.22;2024.05.28;
Lumark 80 GBq/ml radioaktív jelzõizotóp oldat;Lutetium (177Lu)-chloride;V09;IDB Holland B.V.;EU/1/15/1013;1 X 10 ml injekciós üvegben;I ;;CTK;2015.06.19;..;
Lumeblue 25 mg retard tabletta;methylthioninium chloride;V04CX;Cosmo Technologies Ltd.;EU/1/20/1470;8 X   - buborékcsomagolásban;Sz ;;CTK;2020.08.19;..;
Lumigan 0,1 mg/ml oldatos szemcsepp;bimatoprost;S01EE03;AbbVie Deutschland GmbH & Co. KG ;EU/1/02/205;1 X 3 ml tartályban, 3 X 3 ml tartályban;J ;;CTK;2010.01.07;..;
Lumigan 0,3 mg/ml oldatos szemcsepp;bimatoprost;S01EE03;AbbVie Deutschland GmbH & Co. KG ;EU/1/02/205;1 X 3 ml palackban, 3 X 3 ml palackban;J ;;CTK;2002.03.08;..;
Lumigan 0,3 mg/ml oldatos szemcsepp, egyadagos tartályban;bimatoprost;S01EE03;AbbVie Deutschland GmbH & Co. KG ;EU/1/02/205;30 X 0.4 ml egyadagos tartályban, 5 X 0.4 ml egyadagos tartályban, 90 X 0.4 ml egyadagos tartályban;J ;;CTK;2012.11.19;..;
Luminity 150 mikroliter/ml gáz és oldószer injekcióhoz/infúzióhoz való diszperzióhoz;perflutren;V08DA04;Lantheus EU Limited;EU/1/06/361;1 X 1.5 ml injekciós üvegben, 4 X 1.5 ml injekciós üvegben;I ;;CTK;2006.09.20;..;
LUMOBRY 0,25 mg/ml oldatos szemcsepp;brimonidine tartrate;S01GA07;Bausch + Lomb Ireland Ltd.;OGYI-T-24416;1 X 7.5 ml tartályban;V ;;TK;2024.07.10;..;
Lumoxiti 1 mg por koncentrátumhoz és oldat oldatos infúzióhoz;moxetumomab pausodotox;L01XC34;AstraZeneca AB;EU/1/20/1522;2 X 1 mg injekciós üvegben, 3 X 1 mg injekciós üvegben;  ;;CTT;2021.02.08;2021.07.23;
Lumykras 120 mg filmtabletta;sotorasib;L01XX73;Amgen Europe B.V.;EU/1/21/1603;240 X   - buborékcsomagolásban, 240 X   - HDPE tartályban, 720 X   - buborékcsomagolásban;Sz ;;CTK;2022.01.06;..;
Lumykras 240 mg filmtabletta;sotorasib;L01XX73;Amgen Europe B.V.;EU/1/21/1603/;120 X   - buborékcsomagolásban;Sz ;;CTK;2024.05.23;..;
Lunsumio 1 mg koncentrátum oldatos infúzióhoz;mosunetuzumab         ;L01XC;Roche Registration GmbH;EU/1/22/1649;1 X 1 ml injekciós üvegben;I ;;CTK;2022.06.03;..;
Lunsumio 30 mg koncentrátum oldatos infúzióhoz;mosunetuzumab         ;L01XC;Roche Registration GmbH;EU/1/22/1649;1 X 30 ml injekciós üvegben;I ;;CTK;2022.06.03;..;
Lupkynis 7,9 mg lágy kapszula;voclosporin;L04AD03;Otsuka Pharmaceutical Netherlands B.V.;EU/1/22/1678;180 X   - buborékcsomagolásban, 576 X   - buborékcsomagolásban;Sz ;;CTK;2022.09.15;..;
LURECINE 100 mg tabletta;allopurinol;M04AA01;Meditop Gyógyszeripari Kft.;OGYI-T-24099;50 X   - buborékcsomagolásban;V ;;TK;2022.08.01;..;
LURECINE 300 mg tabletta;allopurinol;M04AA01;Meditop Gyógyszeripari Kft.;OGYI-T-24099;100 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;V ;;TK;2022.08.01;..;
Lusduna 100 egység/ml oldatos injekció elõretöltött injekciós tollban;insulin glargine;A10AE04;Merck Sharp & Dohme BV;EU/1/16/1162;;V ;;CTT;2017.01.04;2018.10.31;
Lutathera 370 MBq/ml oldatos infúzió;lutetium (177Lu) oxodotreotide;V10XX04;Advanced Accelerator Applications;EU/1/17/1226;1 X   - injekciós üvegben;I ;;CTK;2017.09.26;..;
Luteinum golyócskák  (C  4);;;BOIRON;OGYI-HGAL-331C4;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C  5);;;BOIRON;OGYI-HGAL-331C5;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C  6);;;BOIRON;OGYI-HGAL-331C6;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C  9);;;BOIRON;OGYI-HGAL-331C9;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C 12);;;BOIRON;OGYI-HGAL-331C12;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C 15);;;BOIRON;OGYI-HGAL-331C15;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C 30);;;BOIRON;OGYI-HGAL-331C30;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Luteinum golyócskák  (C200);;;BOIRON;OGYI-HGAL-331C200;1 X 4 g multi dose;VN ;;TK;2002.08.01;..;
Lutetium (177Lu) chloride Billev 51,8 GBq/ml radioaktív jelzõizotóp oldat;Lutetium (177Lu)-chloride;V10X;Billev Pharma ApS;EU/1/22/1680;1 X 10 ml injekciós üvegben, 1 X 5 ml injekciós üvegben, 2 X 10 ml injekciós üvegben, 2 X 5 ml injekciós üvegben, 3 X 10 ml injekciós üvegben, 3 X 5 ml injekciós üvegben;I ;;CTK;2022.09.15;..;
LUTINUS 100 mg hüvelytabletta;progesterone;G03DA04;Ferring Magyarország Kft.;OGYI-T-21257;21 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;V ;;TK;2010.04.14;..;
LUTONAZE 137 mikrogramm/50 mikrogramm szuszpenziós orrspray;azelastine hydrochloride, fluticasone propionate;R01AD58;Zentiva, k.s.;OGYI-T-24400;1 X   - üvegben;V ;;TK;2024.06.10;..;
LUUF BOROSTYÁN szopogató tabletta;Ivy leaf;R05;Apomedica GmbH;OGYI-TN-12;1 X 20 Darab buborékcsomagolásban;VN ;;TT;2011.02.11;2021.07.02;
Luveris  75 NE por és oldószer oldatos injekcióhoz;lutropin alfa;G03GA07;Merck Europe B.V. ;EU/1/00/155;1 X   - porüveg, 1 X   - porüveg, 10 X   - porüveg, 10 X   - porüveg+oldószerüveg, 3 X   - porüveg, 3 X   - porüveg+oldószerüveg;Sz ;;CTK;2000.11.29;..;
Luveris 450 NE oldatos injekció;lutropin alfa;G03GA07;Merck Serono Europe Ltd;EU/1/00/155;;Sz ;;CTT;2009.05.26;2014.11.19;
Luxturna 5×10^12 vektor genom/ml koncentrátum és oldószer oldatos injekcióhoz;voretigene neparvovec;S01XA27;Novartis Europharm Limited;EU/1/18/1331;1 X 0.5 ml injekciós üvegben;I ;;CTK;2018.11.22;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C  2);;;BOIRON;OGYI-HGAL-74C2;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C  5);;;BOIRON;OGYI-HGAL-74C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C  6);;;BOIRON;OGYI-HGAL-74C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C  9);;;BOIRON;OGYI-HGAL-74C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C 12);;;BOIRON;OGYI-HGAL-74C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C 15);;;BOIRON;OGYI-HGAL-74C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C 30);;;BOIRON;OGYI-HGAL-74C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák  (C200);;;BOIRON;OGYI-HGAL-74C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C1000;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C10000;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C12);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C12;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C15);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C15;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C200);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C200;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C30);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C30;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C5);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C5;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C6);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C6;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopodium clavatum (Lycopodium) golyócskák(C9);;;Remedia Homöopathie GmbH;OGYI-HGAL-71C9;1 X 1 g üvegfiola, 1 X 10 g üvegben, 1 X 20 g üvegben, 1 X 50 g üvegben;VN ;;TK;1999.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C  2);;;BOIRON;OGYI-HGAL-314C2;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C  5);;;BOIRON;OGYI-HGAL-314C5;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C  6);;;BOIRON;OGYI-HGAL-314C6;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C  9);;;BOIRON;OGYI-HGAL-314C9;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C 12);;;BOIRON;OGYI-HGAL-314C12;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C 15);;;BOIRON;OGYI-HGAL-314C15;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C 30);;;BOIRON;OGYI-HGAL-314C30;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
Lycopus (Lycopus virginicus) golyócskák  (C200);;;BOIRON;OGYI-HGAL-314C200;1 X 4 g multi dose;VN ;;TK;2000.01.01;..;
LYDAGRIKS 10 mg/ml oldatos injekció;lidocaine hydrochloride;N01BB02;Grindeks AS;OGYI-T-24407;10 X 10 ml ampulla, 10 X 20 ml injekciós üvegben, 10 X 5 ml ampulla, 10 X 50 ml injekciós üvegben, 5 X 10 ml ampulla, 5 X 5 ml ampulla;V ;;TK;2024.06.20;..;
LYDAGRIKS 20 mg/ml oldatos injekció;lidocaine hydrochloride;N01BB02;Grindeks AS;OGYI-T-24407;10 X 10 ml ampulla, 10 X 2 ml ampulla, 10 X 20 ml injekciós üvegben, 10 X 5 ml ampulla, 10 X 50 ml injekciós üvegben, 5 X 10 ml ampulla, 5 X 2 ml ampulla, 5 X 5 ml ampulla;V ;;TK;2024.06.20;..;
Lydisilka 3 mg/14,2 mg filmtabletta;drospirenone, estetrol monohydrate;G03AA18;Estetra SPRL;EU/1/21/1548;13 X 28 - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 3 X 28 - buborékcsomagolásban, 6 X 28 - buborékcsomagolásban;V ;;CTK;2021.05.19;..;
Lyfnua 45 mg filmtabletta;gefapixant;R05DB29;Merck Sharp & Dohme BV;EU/1/21/1613;2 X 98 - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban; ;;CTK;2023.09.15;..;
Lymphdiaral tabletta;;;Pascoe Pharmazeutische Präparate GmbH;OGYI-HG-152;100 X   - buborékcsomagolásban;VN GYK;;TK;2003.06.01;..;
Lymphoseek 50 mikrogramm készlet radioaktív gyógyszerkészítményhez;tilmanocept;V09IA09;Navidea Biopharmaceuticals Europe Ltd.;EU/1/14/955;1 X   - injekciós üvegben, 5 X   - injekciós üvegben;I ;;CTT;2014.11.19;2024.08.14;
Lynparza  50 mg kemény kapszula;olaparib;L01XX46;AstraZeneca AB;EU/1/14/959;4 X 112 - HDPE tartályban;Sz ;;CTT;2014.12.16;2022.09.01;
Lynparza 100 mg filmtabletta;olaparib;L01XX46;AstraZeneca AB;EU/1/14/959;2 X 56 - buborékcsomagolásban, 56 X   - buborékcsomagolásban;Sz ;;CTK;2018.05.08;..;
Lynparza 150 mg filmtabletta;olaparib;L01XX46;AstraZeneca AB;EU/1/14/959;2 X 56 - buborékcsomagolásban, 56 X   - buborékcsomagolásban;Sz ;;CTK;2018.05.08;..;
LYOMET XR  500 mg retard tabletta;metformin hydrochloride;A10BA02;Mylan Ireland Ltd.;OGYI-T-22679;; ;;ATT;2014.06.13;2021.07.07;
LYOMET XR  750 mg retard tabletta;metformin hydrochloride;A10BA02;Mylan Ireland Ltd.;OGYI-T-22679;; ;;ATT;2014.06.13;2021.07.07;
LYOMET XR 1000 mg retard tabletta;metformin hydrochloride;A10BA02;Mylan Ireland Ltd.;OGYI-T-22679;; ;;ATT;2014.06.13;2021.07.07;
Lyrica  25 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 200 X   - HDPE palackban, 21 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica  50 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X   - buborékcsomagolásban, 21 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica  75 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 112 X   - adagonként perforált buborékcsomagolásban, 14 X   - buborékcsomagolásban, 200 X   - HDPE palackban, 56 X   - buborékcsomagolásban, 70 X  - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica 100 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 21 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica 150 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 200 X   - HDPE palackban, 56 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica 20 mg/ml belsõleges oldat;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;1 X 473 ml HDPE palackban;V ;;CTK;2010.06.08;..;
Lyrica 200 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 21 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
Lyrica 225 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban;V ;;CTK;2006.05.15;..;
Lyrica 300 mg kemény kapszula;pregabalin;N03AX16;Upjohn EESV;EU/1/04/279;100 X  - buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 112 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 200 X   - HDPE palackban, 56 X   - buborékcsomagolásban;V ;;CTK;2004.07.06;..;
LysaKare 25 g/25 g oldatos infúzió;arginine, lysine;V03AF11;Advanced Accelerator Applications;EU/1/19/1381;1 X 1000 ml PVC zsákban;I ;;CTK;2019.07.25;..;
Lysodren 500 mg tabletta;mitotane;L01XX23;HRA Pharma Rare Diseases;EU/1/04/273;100 X   - HDPE tartályban;Sz ;;CTK;2004.04.28;..;
Lytenava 25 mg/ml oldatos injekció;bevacizumab;S01LA08;Outlook Therapeutics Limited;EU/1/24/1798;1 X 0.3 ml injekciós üvegben;Sz ;;CTK;2024.05.27;..;
Lytgobi 4 mg-os filmtabletta;futibatinib;L01EN04;Taiho Pharma Netherlands B.V.;EU/1/23/1741;21 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 35 X   - buborékcsomagolásban;Sz ;;CTK;2023.07.04;..;
Lyumjev 100 egység/ml Junior KwikPen oldatos injekció elõretöltött injekciós tollban;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;10 X 3 ml patronban, 2 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2020.03.24;..;
Lyumjev 100 egység/ml KwikPen oldatos injekció elõretöltött injekciós tollban;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;10 X 3 ml patronban, 2 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2020.03.24;..;
Lyumjev 100 egység/ml oldatos injekció patronban;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;10 X 3 ml patronban, 2 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2020.03.24;..;
Lyumjev 100 egység/ml oldatos injekció üvegben;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;1 X 10 ml injekciós üvegben, 2 X 10 ml injekciós üvegben, 5 X 10 ml injekciós üvegben;J ;;CTK;2020.03.24;..;
Lyumjev 100 egység/ml Tempo Pen oldatos injekció elõretöltött injekciós tollban;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;10 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2021.02.11;..;
Lyumjev 200 egység/ml KwikPen oldatos injekció elõretöltött injekciós tollban;insulin lispro;A10AB04;Eli Lilly Nederland B.V.;EU/1/20/1422;10 X 3 ml patronban, 2 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2020.03.24;..;
LYXIO 200 mg por belsõleges oldathoz;acetylcysteine;R05CB01;Supremex Kft.;OGYI-T-22630;20 X   - tasakban, 30 X   - tasakban;VN ;;TK;2014.02.27;..;
LYXIO 600 mg por belsõleges oldathoz;acetylcysteine;R05CB01;Supremex Kft.;OGYI-T-22630;10 X   - tasakban;VN ;;TK;2014.02.27;..;
Lyxumia  10 mikrogramm oldatos injekció és Lyxumia 20 mikrogramm oldatos injekció (Kezdõ terápiás csomag);lixisenatide;A10BJ03;Sanofi Winthrop Industrie;EU/1/12/811;1x + 1 X   - elõretöltött injekciós tollban;J ;;CTK;2013.02.01;..;
Lyxumia 10 mikrogramm oldatos injekció;lixisenatide;A10BJ03;Sanofi Winthrop Industrie;EU/1/12/811;1 X   - elõretöltött injekciós tollban;J ;;CTK;2013.02.01;..;
Lyxumia 20 mikrogramm oldatos injekció;lixisenatide;A10BJ03;Sanofi Winthrop Industrie;EU/1/12/811;1 X   - elõretöltött injekciós tollban, 2 X   - elõretöltött injekciós tollban, 6 X   - elõretöltött injekciós tollban;J ;;CTK;2013.02.01;..;
M-M-RVaxpro por és oldószer szuszpenziós injekcióhoz;vakcina (virális);J07BD52;Merck Sharp & Dohme BV;EU/1/06/337;1 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 5 X 0.5 ml injekciós üvegben;V ;;CTK;2006.05.05;..;
M-M-RVaxpro por és oldószer szuszpenziós injekcióhoz elõretöltött fecskendõben;vakcina (virális);J07BD52;Merck Sharp & Dohme BV;EU/1/06/337;1 X 0.5 ml injekciós üvegben, 1 X 0.5 ml injekciós üvegben, 1 X 0.5 ml injekciós üvegben, 1 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 20 X 0.5 ml injekciós üvegben, 20 X 0.5 ml injekciós üvegben, 20 X 0.5 ml injekciós üvegben;V ;;CTK;2006.05.05;..;
MabCampath 10 mg/ml koncentrátum oldatos infúzióhoz;alemtuzumab;L01XC04;Genzyme Europe BV;EU/1/01/193;;V ;;CTT;2001.07.06;2012.08.08;
MabCampath 30 mg/ml koncentrátum oldatos infúzióhoz;alemtuzumab;L01XC04;Genzyme Europe BV;EU/1/01/193;;V ;;CTT;2001.07.06;2012.08.08;
MabThera  100 mg koncentrátum oldatos infúzióhoz;rituximab;L01XC02;Roche Registration GmbH;EU/1/98/067;2 X   - injekciós üvegben;I ;;CTK;1998.06.02;..;
MabThera  500 mg koncentrátum oldatos infúzióhoz;rituximab;L01XC02;Roche Registration GmbH;EU/1/98/067;1 X   - injekciós üvegben;I ;;CTK;1998.06.02;..;
